Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
Stage 3 Impacts Evidence,https://www.gov.uk/government/publications/stage-3-impacts-evidence,9 June 2025,MMO has carried out assessments on the impacts of fishing gear on protected features in Stage 3 MPAs as well as an assessment of the social and economic impacts of the proposed byelaws.,Stage 3 Impacts Evidence MMO has carried out assessments on the impacts of fishing gear on protected features in Stage 3 MPAs as well as an assessment of the social and economic impacts of the proposed byelaws.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The South West Marine Plans Documents,https://www.gov.uk/government/publications/the-south-west-marine-plans-documents,23 June 2021,Published June 2021 the South West Inshore and South West Offshore Marine Plans provides guidance for sustainable development from the border with Wales to the River Dart in Devon.,The South West Marine Plans Documents Published June 2021 the South West Inshore and South West Offshore Marine Plans provides guidance for sustainable development from the border with Wales to the River Dart in Devon.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,https://www.gov.uk/government/publications/uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data-2024,31 January 2025,UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,2024 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development,https://www.gov.uk/guidance/celtic-sea-and-western-channel-demersal-fisheries-management-plan-fmp,22 April 2025,"The Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) covers English and Welsh waters within ICES areas 7e, 7f, 7g and 7h.","Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) development The Celtic Sea and Western Channel demersal Fisheries Management Plan (FMP) covers English and Welsh waters within ICES areas 7e, 7f, 7g and 7h.","{""bart"": ""Stats"", ""roberta"": ""Funding""}"
How to apply for a marine licence,https://www.gov.uk/guidance/how-to-apply-for-a-marine-licence,27 January 2025,Details on what you need to do to apply for a standard marine licence.,How to apply for a marine licence Details on what you need to do to apply for a standard marine licence.,"{""bart"": ""OMT"", ""roberta"": ""FVL""}"
How we respond to marine pollution incidents,https://www.gov.uk/guidance/how-we-respond-to-marine-pollution-incidents,31 July 2018,"How to report marine pollution incidents, the response to an incident and how to get approval to use an oil spill treatment product.","How we respond to marine pollution incidents How to report marine pollution incidents, the response to an incident and how to get approval to use an oil spill treatment product.","{""bart"": ""OMT"", ""roberta"": ""OMT""}"
Marine planning and development,https://www.gov.uk/guidance/marine-plans-development,22 June 2021,The 12-stage process on how a marine plan is made from selection to implementation and monitoring and how you can get involved.,Marine planning and development The 12-stage process on how a marine plan is made from selection to implementation and monitoring and how you can get involved.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Supply aquariums and zoos with marine species,https://www.gov.uk/guidance/supply-aquariums-and-zoos-with-marine-species,1 January 2021,Guide to the rules and regulations to know before performing sea-fishing activities to supply aquariums and zoos.,Supply aquariums and zoos with marine species Guide to the rules and regulations to know before performing sea-fishing activities to supply aquariums and zoos.,"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
Harbour Porpoise Bycatch Management Options,https://www.gov.uk/government/publications/harbour-porpoise-bycatch-management-options,11 July 2025,Based on the best available evidence MMO have identified bycatch of harbour porpoise in gillnets as a concern that may need to be managed. As such MMO is considering potential management options. It has set out the evidence currently available along with details of potential management options.,Harbour Porpoise Bycatch Management Options Based on the best available evidence MMO have identified bycatch of harbour porpoise in gillnets as a concern that may need to be managed. As such MMO is considering potential management options. It has set out the evidence currently available along with details of potential management options.,"{""bart"": ""Stats"", ""roberta"": ""Comms""}"
MMO2030 Strategic Plan,https://www.gov.uk/government/publications/mmo2030-strategic-plan,27 July 2023,"The Marine Management Organisation (MMO) has published its 2030 Strategic Plan for healthy, productive seas and coasts.","MMO2030 Strategic Plan The Marine Management Organisation (MMO) has published its 2030 Strategic Plan for healthy, productive seas and coasts.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
The North West Marine Plans Documents,https://www.gov.uk/government/publications/the-north-west-marine-plans-documents,23 June 2021,Published June 2021 the North West Inshore and North West Offshore Marine Plans provides guidance for sustainable development from the border with Scotland to the border with Wales.,The North West Marine Plans Documents Published June 2021 the North West Inshore and North West Offshore Marine Plans provides guidance for sustainable development from the border with Scotland to the border with Wales.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
UK and England quota management rules,https://www.gov.uk/government/publications/uk-and-england-quota-management-rules,17 September 2024,UK and England quota management rules,UK and England quota management rules UK and England quota management rules,"{""bart"": ""FMT"", ""roberta"": ""Funding""}"
Using Marine Plans,https://www.gov.uk/government/publications/using-marine-plans,6 May 2025,"Guidance note to show how users, decision-makers and applicants could apply marine plans and use the Explore Marine Plans service","Using Marine Plans Guidance note to show how users, decision-makers and applicants could apply marine plans and use the Explore Marine Plans service","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
"Fishing data collection, coverage, processing and revisions",https://www.gov.uk/guidance/fishing-activity-and-landings-data-collection-and-processing,29 January 2021,How data on landings statistics are collected and processed by fisheries administrations in the UK.,"Fishing data collection, coverage, processing and revisions How data on landings statistics are collected and processed by fisheries administrations in the UK.","{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Reduce dolphin and porpoise by-catch,https://www.gov.uk/guidance/reduce-dolphin-and-porpoise-by-catch-comply-with-regulations,25 March 2022,"Certain vessels must use an acoustic deterrent device, known as a 'pinger', to reduce the level of dolphin and porpoise (cetacean) by-catch.","Reduce dolphin and porpoise by-catch Certain vessels must use an acoustic deterrent device, known as a 'pinger', to reduce the level of dolphin and porpoise (cetacean) by-catch.","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Fishing offences: fines and payment,https://www.gov.uk/government/publications/fishing-offences-financial-administrative-penalties,30 November 2022,"Penalty notices and fines that apply for fisheries offences, including illegal catch and marketing offences.","Fishing offences: fines and payment Penalty notices and fines that apply for fisheries offences, including illegal catch and marketing offences.","{""bart"": ""Compliance"", ""roberta"": ""Compliance""}"
Marine protected areas - Stage 4 impacts evidence,https://www.gov.uk/government/publications/marine-protected-areas-stage-4-impacts-evidence,5 December 2023,MMO have carried out assessments on the impacts of fishing activities on highly mobile species features including harbour porpoises and marine bird species. These assessments are captured within the draft fishing gear MPA Impacts Evidence documents.,Marine protected areas - Stage 4 impacts evidence MMO have carried out assessments on the impacts of fishing activities on highly mobile species features including harbour porpoises and marine bird species. These assessments are captured within the draft fishing gear MPA Impacts Evidence documents.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The South East Marine Plan Documents,https://www.gov.uk/government/publications/the-south-east-marine-plan-documents,23 June 2021,Published June 2021 the South East Inshore Marine Plan provides guidance for sustainable development from Felixstowe in Suffolk to near Folkestone in Kent.,The South East Marine Plan Documents Published June 2021 the South East Inshore Marine Plan provides guidance for sustainable development from Felixstowe in Suffolk to near Folkestone in Kent.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Get a domestic fishing vessel licence: over 10 metres,https://www.gov.uk/guidance/get-a-fishing-vessel-licence-vessels-over-10-metres,13 May 2025,How to apply for a commercial domestic fishing licence for vessels over 10 metres.,Get a domestic fishing vessel licence: over 10 metres How to apply for a commercial domestic fishing licence for vessels over 10 metres.,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
I-VMS - Frequently asked questions,https://www.gov.uk/guidance/i-vms-frequently-asked-questions,12 May 2025,I-VMS - Frequently asked questions,I-VMS - Frequently asked questions I-VMS - Frequently asked questions,"{""bart"": ""Funding"", ""roberta"": ""Comms""}"
Apply to generate energy offshore,https://www.gov.uk/guidance/offshore-energy-generation-consents,11 June 2014,Offshore generating stations may require a marine licence and other consent.,Apply to generate energy offshore Offshore generating stations may require a marine licence and other consent.,"{""bart"": ""Marine Licensing"", ""roberta"": ""Marine Licensing""}"
Regional Fisheries Group - Meet the Team,https://www.gov.uk/guidance/regional-fisheries-group-meet-the-team,9 January 2025,Meet the Team,Regional Fisheries Group - Meet the Team Meet the Team,"{""bart"": ""Funding"", ""roberta"": ""Marine Planning""}"
Removal of any substance or object,https://www.gov.uk/guidance/removal-of-any-substance-or-object,30 May 2019,This guidance outlines the circumstances under which a marine licence may be required from the Marine Management Organisation.,Removal of any substance or object This guidance outlines the circumstances under which a marine licence may be required from the Marine Management Organisation.,"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
Automatic Identification System (AIS) for fishing vessels,https://www.gov.uk/government/publications/automatic-identification-system-ais-for-fishing-vessels,12 August 2014,Fishing vessels are required to fit and maintain in operation an automatic identification system (AIS),Automatic Identification System (AIS) for fishing vessels Fishing vessels are required to fit and maintain in operation an automatic identification system (AIS),"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Compliance and Enforcement Strategy,https://www.gov.uk/government/publications/compliance-and-enforcement-strategy,2 June 2020,The strategy sets out the Marine Management Organisation's overall approach to achieving compliance.,Compliance and Enforcement Strategy The strategy sets out the Marine Management Organisation's overall approach to achieving compliance.,"{""bart"": ""Conservative team"", ""roberta"": ""FMT""}"
East Marine Plan Scoping Report,https://www.gov.uk/government/publications/east-marine-plan-scoping-report,9 April 2025,"The Sustainability Appraisal (SA) provides an independent assessment of economic, social and environmental sustainability.","East Marine Plan Scoping Report The Sustainability Appraisal (SA) provides an independent assessment of economic, social and environmental sustainability.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
How to use oil spill treatment products and equipment,https://www.gov.uk/government/publications/how-to-use-oil-spill-treatment-products-and-equipment,29 April 2015,"Information on spraying oil spill dispersants, different products and equipment, training, and keeping records.","How to use oil spill treatment products and equipment Information on spraying oil spill dispersants, different products and equipment, training, and keeping records.","{""bart"": ""OMT"", ""roberta"": ""FDST""}"
UK Sea Fisheries Statistics: Catch Recording Data Statistical Quality Assessment,https://www.gov.uk/government/publications/uk-sea-fisheries-statistics-catch-recording-data-statistical-quality-assessment,9 October 2025,The Marine Management Organisation has concluded its quality assessment into 2024 landing data for under-10m vessels.,UK Sea Fisheries Statistics: Catch Recording Data Statistical Quality Assessment The Marine Management Organisation has concluded its quality assessment into 2024 landing data for under-10m vessels.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Guidance to help you successfully complete a marine licence application,https://www.gov.uk/guidance/guidance-to-help-you-successfully-complete-a-marine-licence-application,28 November 2024,This guidance can be used to assist your completion of a standard marine licence application within the MMO’s Marine Case Management System MCMS.,Guidance to help you successfully complete a marine licence application This guidance can be used to assist your completion of a standard marine licence application within the MMO’s Marine Case Management System MCMS.,"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
List of I-VMS type-approved devices for under-12 metre English vessels,https://www.gov.uk/guidance/list-of-i-vms-type-approved-devices-for-under-12-metre-english-vessels,12 May 2025,Information to support vessel owners and licence holders of under-12 metre English vessels.,List of I-VMS type-approved devices for under-12 metre English vessels Information to support vessel owners and licence holders of under-12 metre English vessels.,"{""bart"": ""IVMS"", ""roberta"": ""IVMS""}"
"Marking of fishing gear, retrieval and notification of lost gear",https://www.gov.uk/guidance/marking-of-fishing-gear-retrieval-and-notification-of-lost-gear,24 June 2016,New rules imposed by the EU come into force on 10 January 2026 that will impact UK industry when fishing in the waters of EU Member States.,"Marking of fishing gear, retrieval and notification of lost gear New rules imposed by the EU come into force on 10 January 2026 that will impact UK industry when fishing in the waters of EU Member States.","{""bart"": ""SIA"", ""roberta"": ""Funding""}"
Approved oil spill treatment products,https://www.gov.uk/government/publications/approved-oil-spill-treatment-products,31 July 2025,"List of UK approved oil spill treatment products including the name, nature and type, and what they are approved for","Approved oil spill treatment products List of UK approved oil spill treatment products including the name, nature and type, and what they are approved for","{""bart"": ""OMT"", ""roberta"": ""Funding""}"
East Inshore and Offshore Marine Plan Areas - Statement of Public Participation,https://www.gov.uk/government/publications/east-inshore-and-offshore-marine-plan-areas-statement-of-public-participation,27 October 2025,East Inshore and Offshore Marine Plan Areas - Statement of Public Participation,East Inshore and Offshore Marine Plan Areas - Statement of Public Participation East Inshore and Offshore Marine Plan Areas - Statement of Public Participation,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
The Canyons Marine Conservation Zone (Specified Area) Prohibited Fishing Gears Byelaw 2022,https://www.gov.uk/government/publications/the-canyons-marine-conservation-zone-specified-area-prohibited-fishing-gears-byelaw-2022,13 April 2022,The Canyons MCZ is located in the far south-west corner of the UK continental shelf.,The Canyons Marine Conservation Zone (Specified Area) Prohibited Fishing Gears Byelaw 2022 The Canyons MCZ is located in the far south-west corner of the UK continental shelf.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The Dogger Bank Special Area of Conservation (Specified Area) Bottom Towed Fishing Gear Byelaw 2022,https://www.gov.uk/government/publications/the-dogger-bank-special-area-of-conservation-specified-area-bottom-towed-fishing-gear-byelaw-2022,13 April 2022,"Dogger Bank Special Area of Conservation is in the Southern North Sea, off the east coast of England.","The Dogger Bank Special Area of Conservation (Specified Area) Bottom Towed Fishing Gear Byelaw 2022 Dogger Bank Special Area of Conservation is in the Southern North Sea, off the east coast of England.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Contact the marine licensing team,https://www.gov.uk/guidance/contact-the-marine-licensing-team,28 November 2024,Contact details for all enquiries relating to marine licences,Contact the marine licensing team Contact details for all enquiries relating to marine licences,"{""bart"": ""Funding"", ""roberta"": ""FDST""}"
Buyers and sellers of first-sale fish and submission of sales notes,https://www.gov.uk/government/publications/buyers-and-sellers-of-first-sale-fish-and-submission-of-sales-notes,22 September 2025,"Who can fish commercially, who can buy and sell first-sale fish, how to report sales information.","Buyers and sellers of first-sale fish and submission of sales notes Who can fish commercially, who can buy and sell first-sale fish, how to report sales information.","{""bart"": ""FDST"", ""roberta"": ""FDST""}"
East marine plan areas map,https://www.gov.uk/government/publications/east-marine-plan-areas-map,23 January 2024,Map showing the East Inshore and East Offshore marine plan areas.,East marine plan areas map Map showing the East Inshore and East Offshore marine plan areas.,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
European Maritime & Fisheries Fund (EMFF): I-VMS,https://www.gov.uk/government/publications/european-maritime-fisheries-fund-emff-i-vms,22 July 2025,European Maritime & Fisheries Fund (EMFF): I-VMS,European Maritime & Fisheries Fund (EMFF): I-VMS European Maritime & Fisheries Fund (EMFF): I-VMS,"{""bart"": ""Funding"", ""roberta"": ""Conservative team""}"
Fisheries and Seafood Scheme Guidance,https://www.gov.uk/government/publications/fisheries-and-seafood-scheme-guidance,11 June 2025,Guidance for the Fisheries and Seafood Scheme,Fisheries and Seafood Scheme Guidance Guidance for the Fisheries and Seafood Scheme,"{""bart"": ""Funding"", ""roberta"": ""Conservative team""}"
Fisheries in European marine sites: Matrix,https://www.gov.uk/government/publications/fisheries-in-european-marine-sites-matrix,11 June 2014,Risk ratings of how likely different fisheries gear types and activities will damage protected features of European marine sites.,Fisheries in European marine sites: Matrix Risk ratings of how likely different fisheries gear types and activities will damage protected features of European marine sites.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
How to report fishing activities using an electronic logbook software system,https://www.gov.uk/government/publications/how-to-report-fishing-activities-using-an-electronic-logbook-software-system,5 August 2025,"Details of how to report fishing activities, codes for different reports and common species, and extra details for vessel fishing in Norway.","How to report fishing activities using an electronic logbook software system Details of how to report fishing activities, codes for different reports and common species, and extra details for vessel fishing in Norway.","{""bart"": ""Stats"", ""roberta"": ""FDST""}"
Manage your fishing effort: Sole Recovery Zone 2025 to 2026,https://www.gov.uk/government/publications/manage-your-fishing-effort-sole-recovery-zone,13 February 2025,Detailed scheme rules and application forms to fish in the Sole Recovery Zone with regulated gears.,Manage your fishing effort: Sole Recovery Zone 2025 to 2026 Detailed scheme rules and application forms to fish in the Sole Recovery Zone with regulated gears.,"{""bart"": ""FVL"", ""roberta"": ""FMT""}"
Marine licensing guidance for recreational divers,https://www.gov.uk/government/publications/marine-licensing-guidance-for-recreational-divers,6 January 2021,This guidance has been compiled to help recreational divers to ascertain whether diving activities may be licensable.,Marine licensing guidance for recreational divers This guidance has been compiled to help recreational divers to ascertain whether diving activities may be licensable.,"{""bart"": ""OMT"", ""roberta"": ""Funding""}"
Marine licensing: physical and chemical determinands for sediment sampling,https://www.gov.uk/government/publications/marine-licensing-physical-and-chemical-determinands-for-sediment-sampling,28 November 2024,Guidance for laboratories on physical and chemical determinands for sediment sampling to support marine licence applications.,Marine licensing: physical and chemical determinands for sediment sampling Guidance for laboratories on physical and chemical determinands for sediment sampling to support marine licence applications.,"{""bart"": ""FDST"", ""roberta"": ""Funding""}"
Technical Conservation and Landing Obligation rules and regulations from 2022 onwards,https://www.gov.uk/government/publications/technical-conservation-and-landing-obligation-rules-and-regulations-2022,13 December 2024,"Guidance on the technical conservation and landing obligation (discard ban) regulations applicable from 2022 onwards. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","Technical Conservation and Landing Obligation rules and regulations from 2022 onwards Guidance on the technical conservation and landing obligation (discard ban) regulations applicable from 2022 onwards. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Christmas and New Year opening schedule 2019,https://www.gov.uk/guidance/christmas-and-new-year-opening-schedule-2019,20 December 2019,Opening times during the 2019 holiday period,Christmas and New Year opening schedule 2019 Opening times during the 2019 holiday period,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Consultation,https://www.gov.uk/guidance/consultation,16 December 2021,Outlining the consultation process for Harbour Orders,Consultation Outlining the consultation process for Harbour Orders,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
Apply to lay cables,https://www.gov.uk/guidance/marine-licensing-cables,6 January 2021,Laying telecommunications and power cables within UK territorial waters (up to 12 nautical miles) requires a marine licence.,Apply to lay cables Laying telecommunications and power cables within UK territorial waters (up to 12 nautical miles) requires a marine licence.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Marine Plans: three-year reports,https://www.gov.uk/guidance/marine-plans-three-year-reports,1 July 2025,"The Three-Year Reports assess the legislative and regulatory changes that may affect the relevance of the North East, North West, South East, South West and South Marine Plans (the Plans).","Marine Plans: three-year reports The Three-Year Reports assess the legislative and regulatory changes that may affect the relevance of the North East, North West, South East, South West and South Marine Plans (the Plans).","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Designated UK ports,https://www.gov.uk/government/publications/designated-ports,11 July 2025,Information on the designation of UK ports for direct landings by foreign vessels and UK vessels according to licence conditions.,Designated UK ports Information on the designation of UK ports for direct landings by foreign vessels and UK vessels according to licence conditions.,"{""bart"": ""FVL"", ""roberta"": ""SIA""}"
EU IUU Regulation 2026 Changes - Guidance,https://www.gov.uk/government/publications/eu-iuu-regulation-2026-changes-guidance,13 October 2025,"Guidance documents for EU Illegal, Unreported, and Unregulated fishing (IUU) requirements as of January 2026.","EU IUU Regulation 2026 Changes - Guidance Guidance documents for EU Illegal, Unreported, and Unregulated fishing (IUU) requirements as of January 2026.","{""bart"": ""IIU"", ""roberta"": ""Funding""}"
Marine licensing: Standardisation of Post-Consent Environmental Monitoring for Wind Farms in English Waters,https://www.gov.uk/government/publications/marine-licensing-standardisation-of-post-consent-environmental-monitoring-for-wind-farms-in-english-waters,16 July 2025,Guidance for offshore wind developers on post-consent monitoring standards.,Marine licensing: Standardisation of Post-Consent Environmental Monitoring for Wind Farms in English Waters Guidance for offshore wind developers on post-consent monitoring standards.,"{""bart"": ""Compliance"", ""roberta"": ""Marine Licensing""}"
Technical Conservation and Landing Obligation rules and regulations 2020,https://www.gov.uk/government/publications/technical-conservation-and-landing-obligation-rules-and-regulations-2020,23 March 2020,"Guidance on the technical conservation and landing obligation (discard ban) regulations for 2020. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","Technical Conservation and Landing Obligation rules and regulations 2020 Guidance on the technical conservation and landing obligation (discard ban) regulations for 2020. Including how the rules apply, selling undersize fish, reporting requirements and quota management.","{""bart"": ""Stats"", ""roberta"": ""FMT""}"
UK Sea Fisheries Statistics: temporary suspension of the accredited official statistics designation,https://www.gov.uk/government/publications/uk-sea-fisheries-statistics-temporary-suspension-of-the-accredited-official-statistics-designation,3 December 2024,The Marine Management Organisation (MMO) has written to the Office for Statistics Regulation to request a temporary suspension to the accredited official statistics designation of the Sea Fisheries Statistics.,UK Sea Fisheries Statistics: temporary suspension of the accredited official statistics designation The Marine Management Organisation (MMO) has written to the Office for Statistics Regulation to request a temporary suspension to the accredited official statistics designation of the Sea Fisheries Statistics.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Apply for and register your vessel monitoring system device,https://www.gov.uk/guidance/apply-for-and-register-your-vessel-monitoring-system-device,11 June 2014,"Apply for a grant-aided vessel monitoring system, register or re-register your device, and guidance for manufacturers and engineers.","Apply for and register your vessel monitoring system device Apply for a grant-aided vessel monitoring system, register or re-register your device, and guidance for manufacturers and engineers.","{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Cuttlefish Fishery Action Plan,https://www.gov.uk/guidance/cuttlefish-fishery-action-plan,10 April 2025,"Marine Management Organisation (MMO) has implemented actions under the Fisheries Management Plans (FMP) for sustainable fisheries, social and economic goals in English waters of International Council for the Exploration of the Sea (ICES) divisions 7d and 7e.","Cuttlefish Fishery Action Plan Marine Management Organisation (MMO) has implemented actions under the Fisheries Management Plans (FMP) for sustainable fisheries, social and economic goals in English waters of International Council for the Exploration of the Sea (ICES) divisions 7d and 7e.","{""bart"": ""Compliance"", ""roberta"": ""Marine Planning""}"
Manage your fishing effort: Western Waters crabs and scallops,https://www.gov.uk/guidance/manage-your-fishing-effort-western-waters-crabs,13 October 2025,All references to Area VII are to Area VII within British Fishery Limits only. Details of the approach to managing the over 15 metre Area VII crab and scallop fishing sector to keep the fishery within UK effort limits.,Manage your fishing effort: Western Waters crabs and scallops All references to Area VII are to Area VII within British Fishery Limits only. Details of the approach to managing the over 15 metre Area VII crab and scallop fishing sector to keep the fishery within UK effort limits.,"{""bart"": ""Stats"", ""roberta"": ""FMT""}"
Regional Fisheries Groups - North East 4b,https://www.gov.uk/guidance/regional-fisheries-groups-north-east-4b,19 December 2024,"Area overview: The region spans from Berwick to Cleethorpes/Grimsby Port and includes Northumberland, Tyne and Wear, Durham, North Yorkshire, and East Riding.","Regional Fisheries Groups - North East 4b Area overview: The region spans from Berwick to Cleethorpes/Grimsby Port and includes Northumberland, Tyne and Wear, Durham, North Yorkshire, and East Riding.","{""bart"": ""Marine Planning"", ""roberta"": ""SIA""}"
Scuttling of any vessel or floating container,https://www.gov.uk/guidance/scuttling-of-any-floating-vessel-or-container,30 May 2019,This guidance outlines the circumstances under which a marine licence may be required from the Marine Management Organisation.,Scuttling of any vessel or floating container This guidance outlines the circumstances under which a marine licence may be required from the Marine Management Organisation.,"{""bart"": ""FDST"", ""roberta"": ""Funding""}"
Seafood Disruption Support Scheme,https://www.gov.uk/guidance/seafood-disruption-support-scheme,16 February 2021,Information about the Seafood Disruption Support Scheme.,Seafood Disruption Support Scheme Information about the Seafood Disruption Support Scheme.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
"Submission of paper logbooks and landing declaration data, for commercial fishing vessels of 10-12 metres length",https://www.gov.uk/guidance/submission-of-paper-logbooks-and-landing-declaration-data-for-commercial-fishing-vessels-of-10-12-metres-length,5 November 2024,The Marine Management Organisation (MMO) is preparing to help our fishing and seafood industries to be ready to trade successfully in the international marketplace from 1st January 2021.,"Submission of paper logbooks and landing declaration data, for commercial fishing vessels of 10-12 metres length The Marine Management Organisation (MMO) is preparing to help our fishing and seafood industries to be ready to trade successfully in the international marketplace from 1st January 2021.","{""bart"": ""Stats"", ""roberta"": ""FVL""}"
Cleaning of slipways and harbour infrastructure,https://www.gov.uk/government/publications/cleaning-of-slipways-and-harbour-infrastructure,6 May 2015,The use of chemicals to clean algae and other deposits off slipways and marine structures can cause pollution.,Cleaning of slipways and harbour infrastructure The use of chemicals to clean algae and other deposits off slipways and marine structures can cause pollution.,"{""bart"": ""OMT"", ""roberta"": ""OMT""}"
Economic Link,https://www.gov.uk/government/publications/economic-link,13 November 2025,Quota and catch limits,Economic Link Quota and catch limits,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Marine Licences – Teesside,https://www.gov.uk/government/publications/marine-licences-teesside,18 April 2023,"Information on selected marine licence cases, including licensed dredging and disposal activity within the Teesside area.","Marine Licences – Teesside Information on selected marine licence cases, including licensed dredging and disposal activity within the Teesside area.","{""bart"": ""Compliance"", ""roberta"": ""Conservative team""}"
Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery,https://www.gov.uk/government/publications/revised-approach-to-the-management-of-commercial-fisheries-in-european-marine-sites-overarching-policy-and-delivery,21 August 2014,Policy to ensure that all existing and potential commercial fishing operations are managed in line with Article 6 of the Habitats Directive,Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery Policy to ensure that all existing and potential commercial fishing operations are managed in line with Article 6 of the Habitats Directive,"{""bart"": ""Stats"", ""roberta"": ""Marine Planning""}"
Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development,https://www.gov.uk/government/publications/southern-north-sea-non-quota-species-fisheries-management-plan,1 May 2024,"The Southern North Sea demersal non-quota species (NQS) Fisheries Management Plan (FMP) covers ICES divisions 4b and 4c and includes demersal species red, tub and grey gurnards, cuttlefish, squid, octopus, john dory, red mullet and lesser spotted dogfish.","Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development The Southern North Sea demersal non-quota species (NQS) Fisheries Management Plan (FMP) covers ICES divisions 4b and 4c and includes demersal species red, tub and grey gurnards, cuttlefish, squid, octopus, john dory, red mullet and lesser spotted dogfish.","{""bart"": ""Stats"", ""roberta"": ""Comms""}"
Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw,https://www.gov.uk/government/publications/start-point-to-plymouth-sound-and-eddystone-european-marine-site-specified-areas-bottom-towed-gear-byelaw,11 June 2014,"The byelaw for bottom towed fishing gear, including an impact assessment and charts.","Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
"The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022",https://www.gov.uk/government/publications/the-inner-dowsing-race-bank-and-north-ridge-special-area-of-conservation-specified-areas-prohibited-fishing-gears-byelaw-2022,13 April 2022,"The Inner Dowsing, Race Bank and North Ridge MPA is located off the south Lincolnshire coast, encompassing a wide range of sandbank types and biogenic reef.","The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022 The Inner Dowsing, Race Bank and North Ridge MPA is located off the south Lincolnshire coast, encompassing a wide range of sandbank types and biogenic reef.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-irish-sea-marine-protected-areas-fishing-gear-byelaw-2024,19 June 2025,MMO is proposing management measures for offshore marine protected areas (MPAs) in The Irish Sea region.,The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Irish Sea region.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
